event_date,event_type_raw,event_source,event_title,t_minus_2_date,t_minus_1_date,t_minus_2_intraday_return,t_minus_2_amplitude,t_minus_2_volume_change_vs_prev,t_minus_2_close_change_vs_prev_close,t_minus_1_intraday_return,t_minus_1_amplitude,t_minus_1_volume_change_vs_prev,t_minus_1_close_change_vs_prev_close,target_post_3d_return,label,event_type,title_length,positive_keyword_count,negative_keyword_count,sentiment_score,is_report,is_dividend,is_governance,is_manual_source
2018-08-02,1,sina_bulletin,贵州茅台2018年半年度报告,2018-07-31,2018-08-01,0.01293911870693116,0.018270709965650257,-0.5095561035758323,0.015271206488678647,-0.03389411692028907,0.03745649980437781,0.2202291737175458,-0.02392493810722533,-0.021241140267069573,0,1,14,0,0,0,1,0,0,0
2018-10-29,1,eastmoney_notice,贵州茅台2018年第三季度报告,2018-10-25,2018-10-26,-0.0026721534884963792,0.03719637655986964,-0.007160406238093361,-0.04598435662798427,-0.02384588591485152,0.04560190767087329,-0.2678514715223375,-0.02384588591485152,0.045859158644336095,1,1,15,0,0,0,1,0,0,0
2019-03-29,1,sina_bulletin,贵州茅台2018年年度报告,2019-03-27,2019-03-28,0.014012667451376044,0.03527455486426395,0.13860517076284712,0.02939893405155245,0.024412956944089407,0.05258737172698402,0.34480342000140163,0.033718423525509834,-0.015602906842918695,0,1,13,0,0,0,1,0,0,0
2019-04-25,1,sina_bulletin,贵州茅台2019年第一季度报告,2019-04-23,2019-04-24,0.03396055187669261,0.04540362718545736,0.20242197499261594,0.03660634320401462,-0.013458473525765888,0.05282587078230779,-0.07420371735036436,-0.00678844729696362,0.030611378431927534,1,1,15,0,0,0,1,0,0,0
2019-07-18,1,sina_bulletin,贵州茅台2019年半年度报告,2019-07-16,2019-07-17,-0.010010480771814847,0.02324581440971765,-0.4447135460163688,-0.01064858332214323,-0.006107740543181726,0.014740013844211917,-0.23389983456158822,-0.006107740543181726,0.009046867801248158,1,1,14,0,0,0,1,0,0,0
2019-10-16,1,sina_bulletin,贵州茅台2019年第三季度报告,2019-10-14,2019-10-15,-0.006284235994009029,0.018496601275699874,-0.052319704416326815,0.005724159131623835,0.03267388302749876,0.0407369541617042,0.4725246432249522,0.03267388302749876,-0.0015978354655559934,0,1,15,0,0,0,1,0,0,0
2020-04-22,1,eastmoney_notice,贵州茅台2019年年度报告,2020-04-20,2020-04-21,0.006365115127757023,0.01485193529809949,-0.3662343774512367,0.0013068347457201848,-0.02123682801402316,0.03130967174855273,0.20566029951730683,-0.027407712309375915,0.03108746928261964,1,1,13,0,0,0,1,0,0,0
2020-04-28,1,sina_bulletin,贵州茅台2020年第一季度报告,2020-04-24,2020-04-27,0.00251777688169405,0.024302447947913527,-0.28911855459310754,-0.001664985357922815,0.01852267077415015,0.026526414303401382,0.3546700135969041,0.024957570168640125,0.019916022521232837,1,1,15,0,0,0,1,0,0,0
2020-07-29,1,sina_bulletin,贵州茅台2020年半年度报告,2020-07-27,2020-07-28,0.004665430161221261,0.02125838208018259,-0.5074664770418529,0.019730792345176638,0.028252777601197918,0.0353159720014974,0.41569557595132517,0.03369214820284878,-0.002743879433937673,0,1,14,0,0,0,1,0,0,0
2020-10-26,1,sina_bulletin,贵州茅台2020年第三季度报告,2020-10-22,2020-10-23,0.008246524914401072,0.019455201578055015,0.18940796783238983,0.0060363894886513725,-0.016671361287068427,0.0220035766456829,-0.14185312041279302,-0.017778039508208568,0.02309646624066518,1,1,15,0,0,0,1,0,0,0
