signal_date,entry_date,exit_date,entry_price,exit_price,size,hold_days,pnl,pnl_comm,return_pct,signal_prob,signal_threshold,target_percent,event_title,event_source,event_type_raw,exit_reason
2024-08-19,2024-08-20,2024-08-26,1354.46,1341.56,703,4,-9068.700000000064,-10964.002060000064,-0.009524090781566153,0.5701032876968384,0.57,0.95,贵州茅台第四届董事会2024年度第十次会议决议公告,moutai_ir_gsgg,17,hold_days
2024-09-03,2024-09-04,2024-09-10,1326.56,1294.58,704,4,-22513.920000000013,-24359.202560000012,-0.02410746592690871,0.5726034045219421,0.57,0.95,贵州茅台关于召开2024年半年度业绩说明会的公告,moutai_ir_gsgg,8,hold_days
2024-09-27,2024-09-30,2024-10-10,1616.56,1546.82,589,3,-41076.86000000001,-42940.090820000005,-0.04314099074578117,0.576062023639679,0.57,0.95,贵州茅台关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告,moutai_ir_gsgg,4,stop_loss
2024-10-22,2024-10-23,2024-10-29,1468.67,1484.56,596,4,9470.439999999924,7710.314919999924,0.010819312711500795,0.5747963786125183,0.57,0.95,贵州茅台关于职工董事选举结果的公告,moutai_ir_gsgg,6,hold_days
2024-11-11,2024-11-12,2024-11-18,1513.56,1486.56,579,4,-15633.0,-17370.06948,-0.01783873781019583,0.574894368648529,0.57,0.95,贵州茅台2024年中期利润分配方案公告；贵州茅台关于召开2024年第一次临时股东大会的通知；贵州茅台第四届监事会2024年度第五次会议决议公告,moutai_ir_gsgg,3,hold_days
2024-12-16,2024-12-17,2024-12-23,1450.55,1471.44,596,4,12450.44000000006,10708.93396000006,0.01440143393885085,0.5721303224563599,0.57,0.95,贵州茅台2024年中期权益分派实施公告,eastmoney_notice,3,hold_days
2025-08-13,2025-08-14,2025-08-20,1396.98,1414.04,627,4,10696.619999999966,8934.110459999967,0.012212057438188052,0.5702776312828064,0.57,0.95,贵州茅台2025年半年度报告,moutai_ir,1,hold_days
2025-12-11,2025-12-12,2025-12-18,1394.04,1409.54,637,4,9873.5,8087.61954,0.011118762732776679,0.5701845288276672,0.57,0.95,贵州茅台2025年中期权益分派实施公告,eastmoney_notice,3,hold_days
