threshold,accuracy,precision,recall,f1,negative_recall,macro_f1,balanced_accuracy,tn,fp,fn,tp
0.57,0.6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.5238095238095238,0.5238095238095238,5,2,2,1
0.58,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.5,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.51,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.52,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.53,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.54,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.55,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.56,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
