threshold,accuracy,precision,recall,f1,negative_recall,macro_f1,balanced_accuracy,tn,fp,fn,tp
0.5,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.51,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.52,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.53,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.54,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.55,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.56,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.57,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.58,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
