threshold,accuracy,precision,recall,f1,negative_recall,macro_f1,balanced_accuracy,tn,fp,fn,tp
0.56,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.57,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.58,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.5,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.51,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.52,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.53,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.54,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.55,0.2,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0,7,1,2
