threshold,accuracy,precision,recall,f1,negative_recall,macro_f1,balanced_accuracy,tn,fp,fn,tp
0.53,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.54,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.55,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.56,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.57,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.58,0.7,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,7,0,3,0
0.5,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.51,0.3,0.3,1.0,0.46153846153846156,0.0,0.23076923076923078,0.5,0,7,0,3
0.52,0.3,0.25,0.6666666666666666,0.36363636363636365,0.14285714285714285,0.29292929292929293,0.40476190476190477,1,6,1,2
